code,obs,N,K,prob,avg,sd
005930,19,4,1,0.631578947368421,0.000113314391300964,0.0197033733574936
035420,18,16,1.5,0.666666666666667,0.000563702287372199,0.0192549935535359
207940,15,4,1.2,0.533333333333333,0.0114844344605687,0.0369747960971882
005935,17,4,1.2,0.882352941176471,0.00708831453633043,0.00883812822055366
005380,11,23,1.4,0.909090909090909,0.0202859481251775,0.0204151760716703
068270,13,9,1.2,0.615384615384615,0.00699796138022344,0.020485186845526
035720,13,10,1.8,0.615384615384615,0.00875452205405057,0.0233634326457964
006400,17,9,1.1,0.705882352941177,0.00214173142195678,0.0216500127900883
051900,11,9,1.6,0.636363636363636,0.0106750862207572,0.0297812249181913
012330,14,8,0.9,0.714285714285714,0.0107124472132317,0.0194715863867994
000270,11,16,1,0.818181818181818,0.00811401160116451,0.0128322114126011
017670,11,20,1.4,0.818181818181818,0.0110631423282989,0.013521477284595
005490,13,8,0.7,0.769230769230769,0.00409537809355666,0.0090436138319049
105560,11,11,1.5,0.727272727272727,0.00794476373461043,0.030407344549686
036570,15,20,1.3,0.866666666666667,0.0121713835044987,0.01163357622932
034730,14,11,1.2,0.785714285714286,0.00638484967086469,0.0124950069868852
018260,11,15,0.8,0.636363636363636,0.000368652426172324,0.0134312563699504
251270,18,8,1.4,0.666666666666667,0.00406150315747528,0.0232886406402163
015760,11,3,1,0.636363636363636,0.00325079567139077,0.0164243237428202
055550,13,25,0.6,0.846153846153846,0.00778296587350788,0.00878306006131386
096770,13,5,1.2,0.692307692307692,0.00525624681639277,0.0165883856138554
003550,11,18,1.2,0.727272727272727,0.0132424455130017,0.0199521690341319
032830,11,14,0.8,0.727272727272727,0.00692909077617236,0.0128792069478911
086790,12,12,1.5,0.833333333333333,0.00783400062535759,0.00992720073950948
000810,11,3,1,0.727272727272727,0.0088144784998665,0.0202102851275405
019170,11,4,1.3,0.636363636363636,0.0347205559924778,0.0627557798412612
010130,11,7,1.5,0.636363636363636,0.00334930008743535,0.011291818675524
018880,12,6,0.5,0.583333333333333,0.00754834667722282,0.0267506431554049
010950,12,9,1.3,0.75,0.00598569225388361,0.00626665089507375
316140,14,3,0.9,0.642857142857143,0.00183208787589833,0.023493624426373
097950,14,14,1.1,0.642857142857143,0.00611357588837981,0.0186224006346728
024110,11,10,1.4,0.727272727272727,0.014487837320333,0.0227698487984071
030200,12,8,0.5,0.833333333333333,0.00690368875169482,0.0098094862078969
021240,16,14,1.4,0.6875,0.0120752002880866,0.0287212287897043
009540,11,15,1.3,0.636363636363636,-0.00653694274358863,0.0271540375213147
086280,11,23,1.6,0.636363636363636,0.00185202058096498,0.018808326549988
003670,11,10,0.6,0.636363636363636,0.010014408838805,0.020594999369394
271560,12,14,0.9,0.666666666666667,0.00726147165345411,0.0245800467215772
032640,13,8,0.8,0.692307692307692,0.00671076804637589,0.0247122155998626
069500,12,18,2,0.666666666666667,0.00293264882779987,0.00604564197030231
035250,11,11,1.5,0.636363636363636,0.00488670704861233,0.0114066004248171
000100,13,9,0.6,0.769230769230769,0.00449329580334566,0.0112321366841452
011780,13,6,1.5,0.615384615384615,0.0159389847761661,0.0376031364717066
180640,29,5,0.8,0.551724137931035,0.011672221691936,0.0372025118308815
139480,12,7,1.5,0.583333333333333,0.00329147841712259,0.0276594119591831
285130,12,9,1.1,0.75,0.0122216824303072,0.0426623151539256
161390,12,14,1.3,0.75,0.00864903530744347,0.0241435895779977
002790,12,7,1.2,0.583333333333333,0.00575171368729451,0.0214757760825506
071050,11,10,0.9,0.727272727272727,-0.00137471497711417,0.0256544967322877
011070,11,13,1,0.545454545454545,0.00765742637514467,0.0235671627787745
008930,12,9,0.5,0.75,0.00253545887931213,0.0256040824702537
088980,13,10,1.9,0.846153846153846,0.00530516263383094,0.00476280589373255
004020,11,8,1.4,0.545454545454545,-0.00296124956856435,0.0249480392684184
034020,11,7,0.7,0.545454545454545,0.0128479271902781,0.058334914813088
267250,13,21,0.6,0.846153846153846,0.00962013880410677,0.0143079889717411
003490,12,11,1.4,0.833333333333333,0.00614884802486785,0.0119157827974659
000720,16,4,0.6,0.5625,-0.00588076837739704,0.0225088703131085
128940,19,5,0.6,0.526315789473684,-0.00397580793764319,0.0172677838813949
012510,12,12,1.7,0.75,0.00205833655742952,0.0358420945119276
029780,18,6,0.5,0.666666666666667,0.0037319282897507,0.0120503504414952
010140,11,5,1.2,0.636363636363636,0.000734463780722808,0.0134264808769293
012750,19,13,0.5,0.68421052631579,0.00518581297858265,0.0138176447836426
005830,11,12,0.5,0.727272727272727,0.00771247820024341,0.0111308357003795
005387,12,12,1.6,0.666666666666667,0.00726917746227181,0.0217248492083963
011790,11,12,1.6,0.727272727272727,0.0103723086954775,0.0234515480417758
004990,12,7,0.5,0.75,0.010296778488874,0.0162719095978882
078930,14,15,1.1,0.785714285714286,0.00421468929436765,0.0123358898679582
008770,12,8,1.5,0.583333333333333,-0.000412082751248377,0.0169938278769948
241560,20,13,1,0.75,0.00950737020529502,0.0176848572422621
016360,14,7,1.5,0.642857142857143,-0.00122577619298956,0.0214409558102851
003410,11,12,1.6,0.636363636363636,0.00490039741710582,0.0233991861336894
009240,14,3,1,0.571428571428571,0.00980946199233098,0.0377467559633865
026960,14,19,0.6,0.785714285714286,0.013934615370033,0.0167158019862086
000210,11,9,0.8,0.545454545454545,-0.00180110601462437,0.0235056249651907
000080,12,7,0.5,0.666666666666667,0.0108789202305498,0.0202279908827399
042660,12,11,1.3,0.916666666666667,0.00579155782787473,0.0219078355014734
051915,11,15,1.3,0.636363636363636,0.00629857888083407,0.018653486259229
007070,13,3,1,0.538461538461538,0.00227252064613532,0.0208249744495474
030000,11,13,1.1,0.727272727272727,0.002742746754778,0.0211334317237134
102110,13,18,2,0.769230769230769,0.00327690939777953,0.00611478450267261
011200,11,7,0.5,0.818181818181818,0.0120177767877806,0.0186392821222517
001040,11,10,0.7,0.636363636363636,0.00333027914482125,0.00949658176636693
036460,14,8,1.2,0.571428571428571,0.000789337207798343,0.00782685917134387
023530,15,6,1.1,0.533333333333333,0.00495774657017544,0.0212601481277105
336260,11,5,0.8,0.636363636363636,0.0419487498595031,0.158987672457179
081660,11,6,0.5,0.636363636363636,0.00277056156564871,0.027184273622675
252670,11,7,0.6,0.545454545454545,0.000218900068717044,0.0118889577108929
008560,12,8,1,0.75,0.00125634186856412,0.0118099382713619
039490,12,7,1,0.666666666666667,-0.00404722040477227,0.0188473420004827
122630,12,14,1.3,0.666666666666667,0.00363320870777928,0.0174981809100995
001450,13,10,0.6,0.615384615384615,0.00323172604194364,0.0173896930228759
282330,11,8,1.5,0.727272727272727,0.00945297062464689,0.0116778761949933
007310,13,11,0.6,0.692307692307692,0.00658680721459836,0.0222738274063191
028670,11,8,1.5,0.545454545454545,-0.00427037798884571,0.0215948372199574
153130,17,13,1.4,0.529411764705882,4.61264943789488e-05,8.55264454916024e-05
020150,19,4,0.5,0.526315789473684,-0.000571880075958887,0.0197063642107956
005385,11,12,1.7,0.727272727272727,0.00770396644647597,0.0162954649282901
004170,14,3,1,0.642857142857143,0.00342414679687599,0.0194936613076313
000880,11,14,1,0.909090909090909,0.0104146058841018,0.0124958168027381
006260,14,9,1.4,0.785714285714286,0.0281390094575035,0.0543071964776147
004370,11,9,0.6,0.545454545454545,0.00103221202679261,0.0133327500056303
003000,20,8,1,0.55,-0.0103050311413083,0.051085131020525
185750,11,14,1.1,0.636363636363636,-0.009222979290512,0.0579212211198797
010120,11,22,1.2,0.818181818181818,0.0066877884212269,0.0148115185445123
204320,11,8,1.1,0.636363636363636,-0.00077934418366206,0.0332440668970665
009420,13,5,1.3,0.692307692307692,0.0114318615308649,0.0321883967305475
